Stock-ticker,Company Name,Sector,Mkt Cap,Added
INFY,Infosys,IT Services,109.79B,No
ING,ING Group,Banks,58.60B,No
INTC,Intel,Semiconductors & Semiconductor Equipment,226.53B,No
INTU,Intuit,Software,155.97B,No
INVH,Invitation Homes,Equity Real Estate Investment Trusts...,25.89B,No
IOT,Samsara,Software-Infrastructure,11.46B,No
IP,International Paper Company,Containers & Packaging,19.17B,No
IPG,The Interpublic Group of Companies,Media,14.99B,No
IPGP,IPG Photonics,"Electronic Equipment, Instruments & C...",8.60B,No
IQV,IQVIA Holdings,Life Sciences Tools & Services,47.25B,No
IR,Ingersoll Rand,Machinery,24.19B,No
IRM,Iron Mountain,Equity Real Estate Investment Trusts...,12.96B,No
ISRG,Intuitive Surgical,Health Care Equipment & Supplies,109.94B,No
